file start_seconds end_seconds
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_01.edf 50 100
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_02.edf 1100 1130
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_02.edf 200 272
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_06.edf 56 89
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_07.edf 3267 3312
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_08.edf 2500 2538
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_08.edf 1283 1324
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_08.edf 2500 2538
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_11.edf 456 493
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_01.edf 1405 1424
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_02.edf 3100 3129
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_03.edf 2560 2576
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_04.edf 1941 2000
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_05.edf 989 1015
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_06.edf 1697 1734
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_15.edf 1890 1933
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_19.edf 3298 3330
