file start_seconds end_seconds
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_03.edf 2996 3036
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_04.edf 1467 1494
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_15.edf 1732 1772
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_16.edf 1015 1066
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_18.edf 1720 1810
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_21.edf 327 420
chb-mit-scalp-eeg-database-1.0.0\chb01\chb01_26.edf 1862 1963
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_16.edf 130 212
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_16+.edf 2972 3053
chb-mit-scalp-eeg-database-1.0.0\chb02\chb02_19.edf 3369 3378
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_01.edf 362 414
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_02.edf 731 796
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_03.edf 432 501
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_04.edf 2162 2214
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_34.edf 1982 2029
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_35.edf 2592 2656
chb-mit-scalp-eeg-database-1.0.0\chb03\chb03_36.edf 1725 1778
